,1,5,10,50,100,500,1000
-100,0.3467,0.3467,0.3467,0.3467,0.3467,0.3467,0.3467
-95,0.3467,0.3467,0.3467,0.3467,0.3467,0.3467,0.3467
-90,0.3467,0.3467,0.3467,0.3467,0.3467,0.3467,0.3467
-85,0.3867,0.3867,0.3867,0.3867,0.3867,0.3867,0.3867
-80,0.4467,0.4467,0.4467,0.4467,0.4467,0.4467,0.4467
-75,0.46,0.46,0.46,0.46,0.46,0.46,0.46
-70,0.4733,0.4733,0.4733,0.4733,0.4733,0.4733,0.4733
-65,0.5533,0.5533,0.5533,0.5533,0.5533,0.5533,0.5533
-60,0.5733,0.5733,0.5733,0.5733,0.5733,0.5733,0.5733
-55,0.64,0.64,0.64,0.64,0.64,0.64,0.64
-50,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667
-45,0.74,0.7533,0.7533,0.7533,0.7533,0.7533,0.7533
-40,0.8533,0.8533,0.8533,0.8533,0.8533,0.8533,0.8533
-35,0.9067,0.9,0.9,0.9,0.9,0.9,0.9
-30,0.9467,0.9333,0.9333,0.9333,0.9333,0.9333,0.9333
-25,0.9533,0.9533,0.9533,0.9533,0.9533,0.9533,0.9533
-20,0.9533,0.9467,0.96,0.96,0.96,0.96,0.96
-15,0.9467,0.9533,0.9533,0.9667,0.9667,0.9667,0.9667
-10,0.9533,0.94,0.9533,0.9667,0.9667,0.9667,0.9667
-5,0.9467,0.9733,0.9467,0.9467,0.9467,0.9533,0.9533
0,0.9733,0.9533,0.9467,0.9667,0.9667,0.9667,0.9667
5,0.9467,0.9533,0.9533,0.9667,0.9733,0.96,0.9533
10,0.96,0.96,0.98,0.9667,0.9667,0.9267,0.9133
15,0.9667,0.9667,0.98,0.96,0.9733,0.9267,0.9333
20,0.9333,0.9733,0.9533,0.9667,0.88,0.9733,0.9733
25,0.92,0.9733,0.98,0.9733,0.9533,0.9733,0.9067
30,0.8867,0.9467,0.9533,0.9733,0.9733,0.9467,0.9133
35,0.8733,0.9333,0.9467,0.98,0.9667,0.96,0.9533
40,0.8333,0.9067,0.9333,0.9467,0.9467,0.9667,0.9667
45,0.74,0.8867,0.8733,0.9267,0.96,0.9533,0.96
50,0.7267,0.8867,0.9333,0.9667,0.9467,0.98,0.9667
55,0.7467,0.8133,0.9,0.92,0.9067,0.9533,0.9667
60,0.68,0.82,0.8,0.9133,0.9,0.9467,0.9733
65,0.6667,0.92,0.94,0.9467,0.92,0.94,0.92
70,0.6667,0.8467,0.8933,0.9,0.9,0.9533,0.9733
75,0.3467,0.8,0.9333,0.8333,0.8867,0.9467,0.98
80,0.46,0.8067,0.9067,0.7667,0.92,0.9267,0.92
85,0.46,0.4733,0.8867,0.7667,0.8133,0.9,0.9467
90,0.3333,0.3333,0.7933,0.8933,0.74,0.9333,0.9133
95,0.46,0.46,0.6933,0.9067,0.6933,0.9133,0.9467
100,0.3333,0.46,0.86,0.8667,0.9,0.8467,0.96
